2026-03-05T05:22:07.824176 | Dist: 4.7725 | Result: FAIL | ID: EMP-961231
2026-03-05T05:25:38.937155 | Dist: 0.0000 | Result: OK | ID: EMP-961231
2026-03-05T05:28:21.496580 | Dist: 4.8496 | Result: FAIL | ID: EMP-961231
2026-03-05T05:29:39.104204 | Dist: 5.7509 | Result: FAIL | ID: EMP-961231
2026-03-05T05:30:45.624655 | Dist: 4.9060 | Result: FAIL | ID: EMP-961231
2026-03-05T05:55:37.805554 | Dist: 3.9011 | Result: FAIL | ID: EMP-961231
2026-03-05T05:59:11.277732 | Dist: 4.2903 | Result: FAIL | ID: EMP-961231
2026-03-05T05:59:50.142075 | Dist: 5.0613 | Result: FAIL | ID: EMP-961231
2026-03-05T06:00:29.273158 | Dist: 4.2299 | Result: FAIL | ID: EMP-961231
2026-03-05T06:03:56.980274 | Dist: 5.3392 | Result: FAIL | ID: EMP-961231
2026-03-05T06:05:49.674340 | Dist: 9.2900 | Result: FAIL | ID: EMP-961231
2026-03-05T06:07:05.415636 | Dist: 5.5376 | Result: FAIL | ID: EMP-961231
2026-03-05T06:08:25.618563 | Dist: 3.6547 | Result: FAIL | ID: EMP-961231
2026-03-05T06:09:49.308878 | Dist: 4.5800 | Result: FAIL | ID: EMP-961231
2026-03-05T06:10:32.986766 | Dist: 5.0113 | Result: FAIL | ID: EMP-961231
2026-03-05T06:11:22.667973 | Dist: 5.0584 | Result: FAIL | ID: EMP-961231
2026-03-05T06:12:03.100340 | Dist: 3.9886 | Result: FAIL | ID: EMP-961231
2026-03-05T06:12:50.747869 | Dist: 4.6464 | Result: FAIL | ID: EMP-961231
2026-03-05T06:13:54.583650 | Dist: 6.0936 | Result: FAIL | ID: EMP-961231
2026-03-05T06:26:03.429144 | Dist: 4.6817 | Result: FAIL | ID: EMP-961231
2026-03-05T06:35:53.313540 | Dist: 4.4148 | Result: FAIL | ID: EMP-961231
2026-03-05T06:36:09.444373 | Dist: 4.5192 | Result: FAIL | ID: EMP-961231
2026-03-05T06:44:23.200743 | Dist: 0.3938 | Result: OK | ID: EMP-961231
2026-03-05T06:47:23.038984 | Dist: 0.5629 | Result: OK | ID: EMP-961231
2026-03-05T06:47:59.551355 | Dist: 0.4144 | Result: OK | ID: EMP-961231
2026-03-05T06:49:50.127025 | Dist: 1.3022 | Result: FAIL | ID: EMP-349731
2026-03-05T06:50:01.128102 | Dist: 0.3573 | Result: OK | ID: EMP-349731
